Canton,MSE,IS_95
Alajuela,162.55738547318703,14.489700180114484
Alajuelita,63.26328848418293,22.863384016518122
Atenas,1000.0813567790025,25.93142575222157
Cañas,2054.3292037774954,23.156425289632868
Carrillo,916.9498557723092,15.83617657686148
Corredores,1113.6070960578563,26.084213699306456
Desamparados,50.004022529559,19.0456120056182
Esparza,970.2233920371643,17.06613860369435
Garabito,7305.206606151683,27.85374696475616
Golfito,799.8963921697143,23.5632357368933
Guacimo,418.07902646406336,14.998024578020054
La Cruz,1179.8310382910374,24.9127652838144
Liberia,733.6908016595718,21.548991026579344
Limon,640.6278447880869,17.576432127507733
Matina,893.936242689074,17.893678566135947
Montes de Oro,1220.7478556091185,21.195642621738052
Nicoya,577.7295320160731,19.940228870278453
Orotina,2469.3124950732263,16.485183740719474
Osa,1221.2365284384891,32.77909556839934
Parrita,76135370621.77055,13801.675129977206
Perez Zeledón,283.3559603123257,27.253850073171265
Pococí,502.8682623857453,13.652894444376745
Puntarenas,340.51134776266093,13.324578911454719
Quepos,9628.483280834407,36.28138102857545
San Jose,41.36448767705271,11.898893309983677
Santa Ana,172.2245496740972,22.800216750478867
SantaCruz,6685.419378878064,35.73993751538529
Sarapiquí,1330.4539948810448,22.286321396466867
Siquirres,394.6503084442055,13.705194149564024
Talamanca,739.8101558952396,19.89546511119659
Turrialba,205.7712659350127,24.283107543489994
Upala,261.7641893119403,20.788422142657982
