Model,DIC,logscore
formula.iid,53429.63,3.8756
formula.1.1,53553.81,3.885
formula.1.2,53431.18,3.8756
formula.1.3,53428.56,3.8755
formula.1.4,53428.25,3.8754
formula.2.1,53429.37,3.8755
formula.2.2,53429.36,3.8755
formula.2.3,53429.07,3.8755
formula.2.4,53429.38,3.8755
formula.3.1,53431.1,3.8758
formula.3.2,53430.12,3.8756
formula.3.3,53430.07,3.8756
formula.3.4,53429.22,3.8756
formula.1.1a,50640.66,3.6838
formula.1.2a,49438.81,3.5954
formula.1.3a,49461.01,3.5977
formula.1.4a,49463.1,3.5978
formula.2.1a,54674.34,3.9653
formula.2.2a,49468.89,3.5985
formula.2.3a,49456.27,3.5971
formula.2.4a,49459.79,3.5976
formula.3.1a,54675.06,3.9654
formula.3.2a,49462.36,3.5978
formula.3.3a,49459.44,3.5975
formula.3.4a,49459.53,3.5975
