Model,DIC,logscore
formula.iid,57135.37,3.871
formula.1.1,57422.89,3.8907
formula.1.2,57135.54,3.8709
formula.1.3,57134.49,3.8709
formula.1.4,57135.35,3.871
formula.2.1,57135.23,3.871
formula.2.2,57136.26,3.8711
formula.2.3,57135.39,3.871
formula.2.4,57135.72,3.871
formula.3.1,57135.13,3.8709
formula.3.2,57135.22,3.871
formula.3.3,57134.7,3.8709
formula.3.4,57135.14,3.871
formula.1.1a,54256.47,3.6872
formula.1.2a,52628.4,3.5774
formula.1.3a,52632.24,3.5784
formula.1.4a,52634.17,3.5786
formula.2.1a,53416.92,3.6264
formula.2.2a,52633.29,3.5787
formula.2.3a,52636.92,3.5787
formula.2.4a,52630.47,3.5783
formula.3.1a,58669.42,3.9739
formula.3.2a,52637.17,3.5789
formula.3.3a,52636.77,3.5786
formula.3.4a,52637.91,3.5788
